,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
69,False,4,17,0,2,16,0,52.7,0,6,10,0,47.3,0,9,13,False,False,2
70,True,6,12,1,5,12,1,66.2,0,11,15,1,33.8,0,3,4,False,False,0
71,False,5,12,1,6,12,1,33.8,0,3,4,0,66.2,0,11,15,False,False,1
72,True,2,18,1,7,10,0,65.9,0,9,20,2,34.1,0,4,6,True,False,1
73,False,7,10,0,2,18,1,34.1,0,4,6,1,65.9,0,9,20,False,False,2
74,True,7,4,0,4,9,1,57.7,0,11,22,1,42.3,0,2,4,False,False,0
75,False,4,9,1,7,4,0,42.3,0,2,4,0,57.7,0,11,22,True,True,1
76,True,3,16,1,3,12,0,41.7,0,7,11,3,58.3,0,10,17,True,False,3
77,False,3,12,0,3,16,1,58.3,0,10,17,3,41.7,0,7,11,False,False,3
78,True,13,12,0,3,15,0,40.3,0,6,13,1,59.7,0,9,17,False,True,2
79,False,3,15,0,13,12,0,59.7,0,9,17,2,40.3,0,6,13,False,False,1
80,True,1,5,0,4,13,1,39.6,0,2,8,3,60.4,0,4,12,False,True,1
81,False,4,13,1,1,5,0,60.4,0,4,12,1,39.6,0,2,8,True,False,3
82,True,8,23,0,3,7,2,51.5,0,19,30,1,48.5,1,11,18,False,False,4
83,False,3,7,2,8,23,0,48.5,1,11,18,4,51.5,0,19,30,True,True,1
84,True,9,14,0,1,6,0,47.1,0,1,8,0,52.9,0,4,9,False,True,1
85,False,1,6,0,9,14,0,52.9,0,4,9,1,47.1,0,1,8,False,False,0
86,True,10,12,0,1,10,1,38.7,0,2,4,1,61.3,0,11,20,False,False,2
87,False,1,10,1,10,12,0,61.3,0,11,20,2,38.7,0,2,4,True,False,1
88,True,8,7,0,7,13,1,36.4,0,9,12,3,63.6,0,9,18,False,False,0
89,False,7,13,1,8,7,0,63.6,0,9,18,0,36.4,0,9,12,True,True,3
90,True,7,14,0,3,7,0,48.0,0,4,8,2,52.0,1,8,13,False,False,1
91,False,3,7,0,7,14,0,52.0,1,8,13,1,48.0,0,4,8,False,True,2
92,True,9,11,1,4,7,0,58.8,0,4,10,0,41.2,0,10,14,True,False,1
93,False,4,7,0,9,11,1,41.2,0,10,14,1,58.8,0,4,10,False,False,0
94,True,4,11,1,5,19,0,47.2,0,3,8,1,52.8,0,8,16,True,True,1
95,False,5,19,0,4,11,1,52.8,0,8,16,1,47.2,0,3,8,False,False,1
96,True,10,7,0,9,12,1,56.7,0,6,9,2,43.3,0,14,18,False,True,0
97,False,9,12,1,10,7,0,43.3,0,14,18,0,56.7,0,6,9,True,False,2
98,True,6,14,1,5,13,1,48.6,0,5,10,3,51.4,0,5,14,False,False,2
99,False,5,13,1,6,14,1,51.4,0,5,14,2,48.6,0,5,10,False,True,3
100,True,10,2,3,3,3,1,47.6,0,2,8,0,52.4,0,9,17,True,True,0
101,False,3,3,1,10,2,3,52.4,0,9,17,0,47.6,0,2,8,False,False,0
102,True,2,7,1,4,12,1,71.1,0,12,21,1,28.9,0,3,7,False,False,0
